,0,1,2,3,4,5,6,7,8,9
10,CS,2110,Object-Oriented Programming and Data Structures,Michael Ryan Clarkson,10:10AM,11:00AM,Statler Hall 185-Aud,"Intermediate programming in a high-level language and introduction to computer science. Topics include object-oriented programming (classes, objects, subclasses, types), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, testing, program correctness (loop invariants), searching/sorting, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.",Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,"Fall, Spring, Summer."
11,CS,2111,Programming Practicum,Michael Ryan Clarkson,01:30PM,02:20PM,Kimball Hall B11,"Meets weekly for one hour, in collaboration with CS 2110. Designed to enhance understanding of object-oriented programming, use of the application for writing Java programs, and other programming issues, as well as theoretical concepts that arise in CS 2110. The hour is spent in ways appropriate to the material under study -lecture, question-answer session, problem solving in small groups, one-on-one help, etc.",Corequisite: CS 2110.,"Fall, Spring."
12,CS,2300,Intermediate Design and Programming for the Web,Kyle J. Harms,09:05AM,09:55AM,Uris Hall G01,"Web programming requires the cooperation of two machines: the one in front of the viewer (client) and the one delivering the content (server). INFO 1300 concentrates almost exclusively on the client side. The main emphasis in INFO 2300 is learning about server side processing. Students begin with a short overview of the PHP server-side scripting language, then look at interactions with databases, learning about querying via the database language SQL. Through a succession of projects, students learn how to apply this understanding to the creation of an interactive, data-driven site via PHP and the MYSQL database. Also considered are technologies such as Javascript and Ajax and techniques to enhance security and privacy. Design and usability issues are emphasized. A major component of the course is the creation of a substantial web site.",Prerequisite: CS 1300.,Spring.
13,CS,2800,Discrete Structures,Anke  van Zuylen,10:10AM,11:00AM,Statler Hall 185-Aud,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; combinatorics and discrete mathematics; some basic elements of basic probability theory; basic number theory; sets, functions, and relations; graphs; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science, such as the RSA cryptosystem and web searching.",Prerequisite or corequisite: one programming course or permission of instructor.,"Fall, Spring."
14,CS,3110,Data Structures and Functional Programming,Nate  Foster,11:20AM,12:10PM,Statler Hall 185-Aud,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800. Should not be taken concurrently with CS 3410 or CS 3420.,"Fall, Spring."
15,CS,3152,Introduction to Computer Game Architecture,Walker Mcmillan White,10:10AM,11:00AM,Upson Hall 142,"A project-based course in which programmers and designers collaborate to make a computer game. This course investigates the theory and practice of developing computer games from a blend of technical, aesthetic, and cultural perspectives. Technical aspects of game architecture include software engineering, artificial intelligence, game physics, computer graphics, and networking. Aesthetic and cultural include art and modeling, sound and music, game balance, and player experience.",Prerequisite for programmers: CS 2110 or permission of the instructor. Prerequisite for designers: INFO 2450 and/or submission of art/design samples to instructor. Corequisite: ENGRC 3152.,Spring.
16,CS,3410,Computer System Organization and Programming,Anne  Bracy,11:20AM,12:10PM,Uris Hall G01,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,"Fall, Spring."
17,CS,3420,Embedded Systems,Nils  Napp,01:00PM,02:15PM,Olin Hall 255,"An introduction to the design of embedded systems, with an emphasis on understanding the interaction between hardware, software, and the physical world. Topics covered include assembly language programming, interrupts, I/O, concurrency management, scheduling, resource management, and real-time constraints.",Prerequisite: ECE 2300/ENGRD 2300. Recommended prerequisite: ECE 2400/ENGRD 2140.,Spring.
18,CS,4090,Teaching Experience in Computer Science,Dexter  Kozen,,,,Earn course credit for working as a consultant or ugrad TA in a computer science course.,,"Fall, Spring."
19,CS,4120,Introduction to Compilers,Andrew C. Myers,02:40PM,03:30PM,Bill and Melinda Gates Hll G01,"An introduction to the specification and implementation of modern compilers. Topics covered include lexical scanning, parsing, type checking, code generation and translation, an introduction to program analysis and optimization, and compile-time and run-time support for modern programming languages. As part of the course, students will build a working compiler for an object-oriented language.","Prerequisite: CS 3110 or permission of instructor, and CS 3420 or CS 3410. Corequisite: CS 4121.",Spring.
20,CS,4121,Practicum in Compilers,Andrew C. Myers,,,,Students will build a working compiler for an object-oriented language.,Corequisite: CS 4120.,Spring.
21,CS,4152,Advanced Topics in Computer Game Architecture,Walker Mcmillan White,09:05AM,09:55AM,Upson Hall 142,"Project-based follow-up course to CS 3152. Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.","Prerequisite: CS 3152, CS 3300 or CS 4620 or CS 4700 or CS 5414. Corequisite: ENGRC 4152.",Spring.
22,CS,4160,Formal Verification,Michael Ryan Clarkson,02:45PM,04:00PM,Bill and Melinda Gates Hll G01,"An introduction to formal verification, focusing on correctness of functional and imperative programs relative to mathematical specifications. Topics include computer-assisted theorem proving, logic, programming language semantics, and verification of algorithms and data structures. Assignments involve extensive use of a proof assistant to develop and check proofs.","Prerequisite: CS 3110 or permission of instructor. Students are expected to be proficient with programming (e.g. CS 2110), and proof (e.g. CS 2800 or a mathematics course numbered 3000 or above).",Spring.
23,CS,4220,Numerical Analysis: Linear and Nonlinear Problems,David S. Bindel,11:20AM,12:10PM,Olin Hall 255,"Introduction to the fundamentals of numerical linear algebra: direct and iterative methods for linear systems, eigenvalue problems, singular value decomposition. In the second half of the course, the above are used to build iterative methods for nonlinear systems and for multivariate optimization. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.","Prerequisite: MATH 2210 or MATH 2940 or equivalent, knowledge of programming, CS 3220 or CS 4210/MATH 4250, or permission of the instructor. ",Spring.
24,CS,4410,Operating Systems,Robbert  VanRenesse,01:00PM,02:15PM,Uris Hall G01,"Introduction to the design of systems programs, with emphasis on multiprogrammed operating systems. Topics include concurrency, synchronization, deadlocks, memory management, protection, input-output methods, networking, file systems and security. The impact of network and distributed computing environments on operating systems is also discussed.",Prerequisite: CS 3410 or CS 3420.,"Fall, Spring, Summer."
25,CS,4411,Practicum in Operating Systems,Robbert  VanRenesse,02:40PM,03:30PM,Phillips Hall 219,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.",Corequisite: CS 4410.,"Fall, Spring."
26,CS,4670,Introduction to Computer Vision,Bharath  Hariharan,01:30PM,02:20PM,Klarman Hall KG70,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world-the 3D shape of an environment, the motion of objects, the names of people or things-through analysis of digital images or videos.  The course covers a range of topics, including 3D reconstruction, image segmentation, object recognition, and vision algorithms fro the Internet, as well as key algorithmic, optimization, and machine learning techniques, such as graph cuts, non-linear least squares, and deep learning.  This course emphasizes hands-on experience with computer vision, and several large programming projects.","Prerequisite: CS 2110, CS 2800.",Spring.
27,CS,4700,Foundations of Artificial Intelligence,Kevin Michael Ellis,02:45PM,04:00PM,Olin Hall 155,"Challenging introduction to the major subareas and current research directions in artificial intelligence. Topics include: knowledge representation, heuristic search, problem solving, natural-language processing, game-playing, logic and deduction, planning, and machine learning.","Prerequisite: CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor.","Fall, Spring."
28,CS,4701,Practicum in Artificial Intelligence,Kevin Michael Ellis,,,To Be Assigned,"Artificial Intelligence project class. Possible projects topics include knowledge representation systems, search procedures, game-playing, automated reasoning, concept learning, reinforcement learning, neural nets, genetic algorithms, planning, natural language processing, computer vision. Should be taken only by students with significant experience in Artificial Intelligence, such as those who have already taken CS 4700, CS 4780, CS 4670, or CS 4740.","Prerequisite: CS 4670, CS 4700, CS 4740, or CS 4780.","Fall, Spring."
29,CS,4744,Computational Linguistics I,Marten  van Schijndel,11:25AM,12:40PM,Klarman Hall KG70,"Computational models of natural languages. Topics are drawn from: tree syntax and context free grammar, finite state generative morpho-phonology, feature structure grammars, logical semantics, tabular parsing, Hidden Markov models, categorial and minimalist grammars, text corpora, information-theoretic sentence processing, discourse relations, and pronominal coreference.","Prerequisite: Elementary Python (CS 1133 suffices), LING 1101 or CS 2800 or PHIL 2310. Prerequisite for CS majors: Elementary Python and CS 2800.",Spring.
30,CS,4758,Autonomous Mobile Robots,Hadas  Kress-Gazit,09:40AM,10:55AM,Hollister Hall 110,"Creating robots capable of performing complex tasks autonomously requires one to address a variety of different challenges such as sensing, perception, control, planning, mechanical design, and interaction with humans. In recent years many advances have been made toward creating such systems, both in the research community (different robot challenges and competitions) and in industry (industrial, military, and domestic robots). This course gives an overview of the challenges and techniques used for creating autonomous mobile robots. Topics include sensing, localization, mapping, path planning, motion planning, obstacle and collision avoidance, and multi-robot control.",Prerequisite: MATLAB programming or permission of instructor.,Spring.
31,CS,4780,Introduction to Machine Learning,Christopher Matthew De Sa,07:30PM,08:45PM,Statler Hall 185-Aud,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.","Prerequisite: probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700) and linear algebra (e.g. MATH 2940) and calculus (e.g. MATH 1920) and programming proficiency (e.g. CS 2110).","Fall, Spring."
32,CS,4783,Mathematical Foundations of Machine Learning,Karthik  Sridharan,09:40AM,10:55AM,Bill and Melinda Gates Hll G01,"Machine Learning (ML) is a ubiquitous technology. This course, which is a follow up to an introductory course on ML will cover topics that aim to provide a theoretical foundation for designing and analyzing ML algorithms. This course has three basic blocks. First block will provide basic mathematical and statistical toolset required for formalizing ML problems effectively and analyzing them. This block will include topics like generalization, sample complexity of learning algorithm and understanding the inherent challenges in various ML frameworks and models. The second block will provide the foundations in algorithms design and optimization techniques required for building and analyzing various ML algorithms. This block will cover topics like gradient descent, stochastic gradient descent, algorithm design for online learning and computational challenges in ML. ML algorithms are deployed in real world and make decisions that affect real world users. The third block, will cover topics on how to formally reason about and how to design ML methods that address social and user related concerns that ML algorithms need to deal with. This block will cover topics such as fairness, privacy, the right to be forgotten and other such issues and how to build ML algorithms that address or assuage these concerns.","Prerequisite: CS 4780, CS 4820 or equivalent.",Spring.
33,CS,4789,Introduction to Reinforcement Learning,Sarah A Dean,02:45PM,04:00PM,Hollister Hall 110,Reinforcement Learning is one of the most popular paradigms for modelling interactive learning and sequential decision making in dynamical environments. This course introduces the basics of Reinforcement Learning and the Markov Decision Process. The course will cover algorithms for planning and learning in Markov Decision Processes. We will discuss potential applications of Reinforcement Learning and their implications. We will study and implement classic Reinforcement Learning algorithms.,Prerequisite: CS 4780.,Spring.
34,CS,4810,Introduction to Theory of Computing,Dexter  Kozen,09:40AM,10:55AM,Olin Hall 255,"Introduction to the modern theory of computing: automata theory, formal languages, and effective computability.",Prerequisite: CS 2800 or permission of instructor.,Spring.
35,CS,4820,Introduction to Analysis of Algorithms,Eshan  Chattopadhyay,09:05AM,09:55AM,Uris Hall G01,"Develops techniques used in the design and analysis of algorithms, with an emphasis on problems arising in computing applications. Example applications are drawn from systems and networks, artificial intelligence, computer vision, data mining, and computational biology. This course covers four major algorithm design techniques (greedy algorithms, divide-and-conquer, dynamic programming, and network flow), undecidability and NP-completeness, and algorithmic techniques for intractable problems (including identification of structured special cases , approximation algorithms, local search heuristics, and online algorithms).","Prerequisite: CS 2800, CS 3110. ","Fall, Spring, Summer."
36,CS,4830,Introduction to Cryptography,Noah  Stephens-Davidowitz,02:45PM,04:00PM,Kimball Hall B11,"A rigorous introduction to the theoretical foundations of the cryptography that powers much of the modern world. Topics include one-way functions, secret-key encryption, zero-knowledge proofs, signatures, public-key encryption etc. As this is a theoretical class, the emphasis will be on formal definitions and proofs.",Prerequisite: CS 4820.,Spring.
37,CS,4850,Mathematical Foundations for the Information Age,Robert David Kleinberg,01:30PM,02:20PM,Bill and Melinda Gates Hll G01,"Covers the mathematical foundations for access to information. Topics include high dimensional space, random graphs, singular value decomposition, Markov processes, learning theory, and algorithms for massive data.","Prerequisite: CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940.",Spring.
38,CS,4852,Networks II: Market Design,Cristobal  Cheyre Forestier,09:40AM,10:55AM,Hollister Hall B14,"Networks II builds on its prerequisite course and continues to examine how each of the computing, economic, sociological and natural worlds are connected and how the structure of these connections affects these worlds. In this course, we will construct mathematical models for and analyze networked settings, allowing us to both make predictions about behavior in such systems, as well as reason about how to design such systems to exhibit some desirable behavior. Throughout, we will draw on real-world examples such as social networks, peer-to-peer filesharing, Internet markets, and crowdsourcing, that illustrate these phenomena.","Prerequisite: INFO 2040, CS 2800 or equivalent.",Spring.
39,CS,4997,Practical Training in Computer Science,Lillian  Lee,,,,"This independent study course offers CS majors (i.e., undergraduates whose applications to affiliate with the CS major have been approved) an opportunity to reflect on concepts from computer science as they were encountered and applied in a recent internship. Students write a short paper describing their work experience and how it connects to the educational objectives of the computer science major.",,"Fall, Spring."
40,CS,4998,Team Projects,Kavita  Bala,,,,Advanced independent work in computer science as part of a student-led team project. ,,"Fall, Spring."
41,CS,4999,Independent Reading and Research,Wen  Sun,,,,Independent reading and research for undergraduates.,,"Fall, Spring."
42,CS,5120,Introduction to Compilers,Andrew C. Myers,02:40PM,03:30PM,Bill and Melinda Gates Hll G01,"An introduction to the specification and implementation of modern compilers. Topics covered include lexical scanning, parsing, type checking, code generation and translation, an introduction to program analysis and optimization, and compile-time and run-time support for modern programming languages. As part of the course, students will build a working compiler for an object-oriented language.","Prerequisite: CS 3110 or permission of instructor, CS 3420 or CS 3410. Corequisite: CS 5121.",Spring.
43,CS,5121,Practicum in Compilers,Andrew C. Myers,,,,Students will build a working compiler for an object-oriented language.,Corequisite: CS 5120.,Spring.
44,CS,5135,Computational Integer Programming,Andrea  Lodi,09:40AM,10:55AM,Bloomberg Center 61,"This course in Discrete Optimization is focused on Nondeterministic Polynomial-hard problems but with a very strong focus on the use of Mixed-Integer Linear Programming, general-purpose solvers to attack them.",Prerequisite: ORIE 5380/CS 5727 or some knowledge of linear programming.,Spring.
45,CS,5150,Software Engineering,Curran Daniel Muhlberger,02:45PM,04:00PM,Olin Hall 255,"Introduction to the practical problems of specifying, designing, building, testing, and delivering reliable software systems. Special topics include professionalism, project management, and the legal framework for software development. As a central part of the course, student teams carry out projects for real clients, using concepts of agile software development. Each project includes all aspects of software development from a feasibility study to final delivery.""",Prerequisite: CS 2110 or equivalent experience programming in Java or C++.,Spring.
46,CS,5152,Advanced Topics in Computer Game Architecture,Walker Mcmillan White,09:05AM,09:55AM,Upson Hall 142,"Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.","Prerequisite: CS 3152, CS 3300 or CS 4620 or CS 4700 or CS 5414. Corequisite: ENGRC 5152.",Spring.
47,CS,5160,Formal Verification,Michael Ryan Clarkson,02:45PM,04:00PM,Bill and Melinda Gates Hll G01,"An introduction to formal verification, focusing on correctness of functional and imperative programs relative to mathematical specifications. Topics include computer-assisted theorem proving, logic, programming language semantics, and verification of algorithms and data structures. Assignments involve extensive use of a proof assistant to develop and check proofs.","Prerequisite: CS 3110 or permission of instructor. Students are expected to be proficient with programming (e.g. CS 2110), and proof (e.g. CS 2800 or a mathematics course numbered 3000 or above). ",Spring.
48,CS,5223,Numerical Analysis: Linear and Nonlinear Problems,David S. Bindel,11:20AM,12:10PM,Olin Hall 255,"Introduction to the fundamentals of numerical linear algebra: direct and iterative methods for linear systems, eigenvalue problems, singular value decomposition. In the second half of the course, the above are used to build iterative methods for nonlinear systems and for multivariate optimization. Strong emphasis is placed on understanding the advantages, disadvantages, and limits of applicability for all the covered techniques. Computer programming is required to test the theoretical concepts throughout the course.","Prerequisite: MATH 2210 or MATH 2940 or equivalent, knowledge of programming, CS 3220 or CS 4210/MATH 4250 or permission of instructor.",Spring.
49,CS,5304,Data Science in the Wild,Rajalakshmi  Nandakumar,09:40AM,10:55AM,Bloomberg Center 131,"Massive amounts of data are collected by many companies and organizations and the task of a data scientist is to extract actionable knowledge from the data – for scientific needs, to improve public health, to promote businesses, for social studies and for various other purposes. This course will focus on the practical aspects of the field and will attempt to provide a comprehensive set of tools for extracting knowledge from data.",,Spring.
50,CS,5356,Building Startup Systems,Danny  Aslam-Perez,04:20PM,05:35PM,Bloomberg Center 161X,"This course aims to bridge the gap between academic studies of computer science and production software engineering. The course provides a fast-paced introduction to key tools and techniques that can facilitate the building of prototypes and of actual working systems. It introduces technologies for building Web applications and mobile applications, systems for effective storage of data, and tools that support and ease code writing, such as distributed version-control systems, editors and debuggers.",Prerequisite: CS 2110 or CS 2112.,Spring.
51,CS,5410,Operating Systems,Robbert  VanRenesse,01:00PM,02:15PM,Uris Hall G01,"Introduction to the design of systems programs, with emphasis on multiprogrammed operating systems. Topics include concurrency, synchronization, deadlocks, memory management, protection, input-output methods, networking, file systems and security. The impact of network and distributed computing environments on operating systems is also discussed.",Prerequisite: CS 3410 or CS 3420.,"Fall, Spring, Summer."
52,CS,5411,Practicum in Operating Systems,Robbert  VanRenesse,02:40PM,03:30PM,Phillips Hall 219,"Studies the practical aspects of operating systems through the design and implementation of an operating system kernel that supports multiprogramming, virtual memory, and various input-output devices. All the programming for the project is in a high-level language.",Corequisite: CS 5410.,"Fall, Spring."
53,CS,5412,Cloud Computing,Ken  Birman,09:40AM,10:55AM,Bill and Melinda Gates Hll G01,"Focuses on cloud computing, large-scale Internet applications, and other practical issues in designing and implementing trustworthy, scalable distributed software.",Prerequisite: CS 4410 or permission of instructor.,Spring.
54,CS,5433,"Blockchains, Cryptocurrencies, and Smart Contracts",Ari  Juels,04:20PM,05:35PM,Bloomberg Center 131,"Viewed variously as a niche currency for online criminals and a technological threat to the financial industry, Bitcoin has fueled mythmaking, financial speculation, and real technological innovation. We will study both Bitcoin and the technological landscape it has inspired and catalyzed. Topics will include: the mechanics of consensus algorithms, such as Proof of Work and Byzantine Consensus, and their role in blockchains and cryptocurrencies; cryptographic tools employed in cryptocurrencies, including digital signatures algorithm and zero-knowledge proofs; the evolution and mechanics of Bitcoin and its ecosystem; smart contracts; and special topics, such as trusted hardware in blockchain-based systems, smart contracts and real-world contract law, and cryptocurrencies and crime. Grading will be based on homework assignments and a final exam.",,Spring.
55,CS,5436,Privacy in the Digital Age,Helen  Nissenbaum,11:25AM,12:40PM,Tata Innovation Center 141X,"This course introduces students to privacy technologies and surveys the current state of digital privacy from multiple perspectives, including technology, law, policy, ethics, economics, and surveillance.",,Spring.
56,CS,5625,Interactive Computer Graphics,Stephen Robert Marschner,09:40AM,10:55AM,Hollister Hall 372,"Methods for interactive computer graphics, targeting applications including games, visualization, design, and immersive environments. Introduces students to state-of-the-art interactive techniques and programmable shading. Programming assignments use C++ and OpenGL, and students also propose and implement an open-ended final project.",Prerequisite: CS 4620/CS 5620.,Spring.
57,CS,5670,Introduction to Computer Vision,Bharath  Hariharan,01:30PM,02:20PM,Klarman Hall KG70,"An in-depth introduction to computer vision. The goal of computer vision is to compute properties of our world - including the 3D shape of an environment, the motion of objects, and the names of things - through analysis of digital images or videos. The course covers a range of topics, including low-level vision, 3D reconstruction, and object recognition, as well as key algorithmic, optimization, and machine learning techniques, including deep learning. This course emphasizes hands-on experience with computer vision and includes several programming projects.","Prerequisite: CS 2110, CS 2800.",Spring.
58,CS,5678,Topics in Mixed Reality,Harald  Haraldsson,11:25AM,12:40PM,Bloomberg Center 161X,"This course explores the field of Mixed Reality through research topics at the intersection of Computer Vision, Computer Graphics, and Human-Computer Interaction. Topics covered may include but not limited to: 3D interaction techniques, remote collaboration, tracking methods, photometric registration, navigation and more. Students will complete a research-oriented project with focus on a selected topic of interest. Deliverables include project proposal, milestones, final report, and other submissions such as software prototypes where applicable.","Prerequisite: CS 5650, INFO 5340, or permission from the instructor.",Spring.
59,CS,5700,Foundations of Artificial Intelligence,Kevin Michael Ellis,02:45PM,04:00PM,Olin Hall 155,"Challenging introduction to the major subareas and current research directions in artificial intelligence. Topics include: knowledge representation, heuristic search, problem solving, natural-language processing, game-playing, logic and deduction, planning, and machine learning.",,"Fall, Spring."
60,CS,5726,"Learning, Inference, and Decision Making from Data",Nathan  Kallus,09:40AM,10:55AM,Bloomberg Center 161X,"This course covers the analysis of data for making decisions with applications to electronic commerce, AI and intelligent agents, business analytics, and personalized medicine. The focus will be on learning good and automated decision policies, inferring causal effects of potential decisions, and interactive and intelligent systems that learn through acting and act to learn. Topics include A/B testing, sequential decision making and bandits, decision theory, risk minimization and generalization, Markov decision processes, reinforcement learning, analysis of observational data, instrumental variable analysis, and algorithmic fairness of personalized decision policies. Students are expected to have taken a first course in machine learning and have working knowledge of calculus, probability, and linear algebra as well as a modern scripting language such as Python.",Prerequisite: ORIE 5750 or CS 5785.,Spring.
61,CS,5758,Autonomous Mobile Robots,Hadas  Kress-Gazit,09:40AM,10:55AM,Hollister Hall 110,"Creating robots capable of performing complex tasks autonomously requires one to address a variety of different challenges such as sensing, perception, control, planning, mechanical design, and interaction with humans. In recent years many advances have been made toward creating such systems, both in the research community (different robot challenges and competitions) and in industry (industrial, military, and domestic robots). This course gives an overview of the challenges and techniques used for creating autonomous mobile robots. Topics include sensing, localization, mapping, path planning, motion planning, obstacle and collision avoidance, and multi-robot control.",,Spring.
62,CS,5780,Introduction to Machine Learning,Christopher Matthew De Sa,07:30PM,08:45PM,Statler Hall 185-Aud,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.","Prerequisite: probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700) and linear algebra (e.g. MATH 2940) and calculus (e.g. MATH 1920) and programming proficiency (e.g. CS 2110).","Fall, Spring."
63,CS,5783,Mathematical Foundations of Machine Learning,Karthik  Sridharan,09:40AM,10:55AM,Bill and Melinda Gates Hll G01,"Machine Learning (ML) is a ubiquitous technology. This course, which is a follow up to an introductory course on ML will cover topics that aim to provide a theoretical foundation for designing and analyzing ML algorithms. This course has three basic blocks. First block will provide basic mathematical and statistical toolset required for formalizing ML problems effectively and analyzing them. This block will include topics like generalization, sample complexity of learning algorithm and understanding the inherent challenges in various ML frameworks and models. The second block will provide the foundations in algorithms design and optimization techniques required for building and analyzing various ML algorithms. This block will cover topics like gradient descent, stochastic gradient descent, algorithm design for online learning and computational challenges in ML. ML algorithms are deployed in real world and make decisions that affect real world users. The third block, will cover topics on how to formally reason about and how to design ML methods that address social and user related concerns that ML algorithms need to deal with. This block will cover topics such as fairness, privacy, the right to be forgotten and other such issues and how to build ML algorithms that address or assuage these concerns.","Prerequisite: CS 4780, CS 4820 or equivalent.",Spring.
