,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Class_Name,professor,median,semester,size,notes,SemesterN
25,AEM,2700,Management Communication,David Lennox,08:05AM,09:20AM,To Be Assigned,"Management Communication is intended to help you think strategically about communication and aid you in improving your writing, presentation, and interpersonal communication skills as a future manager. We will look at a set of ""best practices"" or guidelines that have been derived from both research and experience, give you the opportunity to put those guidelines into practice, and provide you with feedback on your work to help you strengthen your abilities. More often than not, we will be using a workshop format that will rely heavily on discussion and in-class exercises.",,"Fall, Spring.",AEM 2700,AEM 2700,MULTIPLE,A-,SP22,173,"lecture quality varies by professor depending on which section you're in, good amount of group/presentation/writing assignments",-1.0
26,AEM,2770,Excursions in Computational Sustainability,Carla Gomes,01:00PM,02:15PM,To Be Assigned,"Balancing environmental, economic, and societal needs for a sustainable future encompasses problems of unprecedented size and complexity. Computing and information science can play an important role in addressing critical sustainability challenges faced by present and future generations. The goal of the course is to introduce students to a range of sustainability challenges and to computational methods that can help address such challenges. Sustainability topics include sustainable development, biodiversity and wildlife conservation, poverty mitigation, food security, renewable resources, energy, transportation, and climate change. In the context of these sustainability topics, the course will introduce students to mathematical and computational modeling techniques, algorithms, and statistical methods. The course is at the introductory undergraduate level. Students are expected to have basic knowledge of probability theory and calculus.",,Spring.,AEM 2770,,,,,,,
27,AEM,2805,Strategic Responses to Poverty and Hunger in Developing Countries,Mark Constas,02:40PM,05:10PM,To Be Assigned,"As a writing course, AEM 2805 provides students with an opportunity to understand the problems of poverty and hunger in
developing countries. An important focus of the course will be to explore strategies that United Nations agencies, governmental
bodies, and international non-governmental organizations employ to meet challenges of poverty and hunger.",,"Fall, Spring.",AEM 2805,,,,,,,
28,AEM,2810,The Economics of Vice and Corruption,Garrick Blalock,11:25AM,12:40PM,To Be Assigned,"This writing course is designed to explore the important but largely undocumented role of vice and corruption in modern economies. A particular focus of the course will be learning how to identify activities, such as corruption and creating, that are designed to avoid detection. Techniques to uncover nefarious behavior are an important tool to understand the nature and extent of bad behavior and to prescribe policy treatment to minimize it. Students will write essays reflecting critically on weekly readings of recent literature on vice and deception.","Prerequisite: ECON 1110, First-Year Writing Seminar.",Spring.,AEM 2810,,,,,,,
29,AEM,2830,VBA for Data Analysis and Business Modeling,Reza Moghimi,08:05AM,09:20AM,To Be Assigned,"This course is an introduction to programming with Excel Visual Basic for Applications (VBA) for students aiming to enter the world
of business analytics. Using business applied cases students will increase decision making efficiency and productivity through a
detailed understanding of VBA programming languages.",Prerequisite: AEM 2010.,Spring.,AEM 2830,,,,,,,
30,AEM,2840,Python Programming for Data Analysis and Business Modeling,Reza Moghimi,09:40AM,10:55AM,To Be Assigned,"This course is an introduction to programming with Python for students aiming to enter the world of business analytics. Using business applied cases students will increase decision making efficiency and productivity through a detailed understanding of Python programming languages. Students will also learn how to use a range of Python libraries for data analytics such as NumPy, MatPlotLib, Seaborn, Pandas, and Scikit.",,"Fall, Spring.",AEM 2840,,,,,,,
31,AEM,2850,R Programming for Business Analytics and Data Visualization,Todd Gerarden,09:40AM,10:55AM,To Be Assigned,"This course provides business students with an introduction to the most important tools in R for programming and data visualization. Students will learn the basics of R syntax, data structures, data wrangling, and data visualization using the grammar of graphics. After taking this course, students will have the tools to complete basic tasks in R and interface effectively with statisticians and data scientists in business settings. This course also provides a foundation for future coursework to implement more advanced statistical methods in R.",Prerequisite: AEM 2010  and AEM 2100.,Spring.,AEM 2850,,,,,,,
32,AEM,3000,Grand Challenges Pre-Project Immersion,Sarah Chalmers,09:40AM,10:55AM,To Be Assigned,"Part of the Grand Challenges program, the Pre-Project Immersion prepares students to work with a team during their senior year to solve a societal problem. The Immersion is an intensive learning experience with reinforcements throughout the semester. Students will build skills in working as part of a team, presenting to a client, reflecting on their experience, and demonstrating cultural humility.",Prerequisite: AEM 2000 or AEM 2555 or AEM 2800 or AEM 2805 or AEM 2810 or permission of instructor.,"Fall, Spring.",AEM 3000,,,,,,,
33,AEM,3030,Explorations in Analytic Modeling,Donna Haeger,,,,"Explorations in Analytic Modeling is a fully online course offering a deeper exploration of model-based approaches to quantitative decision-making within a spreadsheet platform.  Applied decision-making primarily using Microsoft Excel as a business analytics tool will focus on performing descriptive, predictive and prescriptive analytics while addressing a wide range of business cases. Emphasis will be placed on exploration that enhances decision making to improve outcomes. This data-driven course will move the student from intro to the most complex functionality available in the Excel platform. Key topics will include data integrity, data management, visual analytics, text analytics, financial modeling, forecasting, optimization, pivot tables, simulation, and dashboard design. The course spans industries and verticals as we explore reasoning with data to address problems in business enterprises leading to optimal managerial decision-making, effective communication of recommendations, and understanding the world of business analytics.",Prerequisite: AEM 2010.,"Fall, Spring.",AEM 3030,,,,,,,
34,AEM,3040,Dairy Markets and Policy,Christopher Wolf,,,,"This course is a survey of topics related to: 1) the structure and performance of U.S. dairy markets; and 2) federal and state policies that regulate market activities. This is not a course in how to market or sell farm milk or dairy products, although we will discuss some topics related to marketing and dairy demand analysis. Policy sections emphasize understanding why regulations were created and how they impact market activity, as well as describing what they do.",,Spring.,AEM 3040,,,,,,,
35,AEM,3100,Business Statistics,Cindy Van Es,10:10AM,11:00AM,To Be Assigned,"Focuses on techniques used to analyze data from marketing research, business, and economics. Topics include experimental design and ANOVA, contingency-table analysis, quality-control methods, time-series analysis, and forecasting. Also includes brief introductions to nonparametric methods and multivariate analysis. Involves a research project designed to give experience in collecting and interpreting data.",Prerequisite: AEM 2100 or equivalent.,"Fall, Spring.",AEM 3100,AEM 3100,F,A-,FA21,41,,0.0
36,AEM,3110,Design and Innovation,Denise Ramzy,11:20AM,01:50PM,To Be Assigned,"This course introduces students to a design toolkit and mindset for creative problem solving that enables a shift from a 20th century, market-based perspective to a more sustainable, human-centered approach appropriate to this century's systemic challenges. Topics covered include: opportunity finding and innovation; the design thinking cycle of inspiration-interpretation-ideation-implementation; and visual communication. Students will learn to apply design strategies to their work to make it more integrated and collaborative. This course will require openness to new ways of (divergent) thinking.",Prerequisite: AEM 2200 or AEM 1200 or equivalent.,"Fall, Spring.",AEM 3110,,,,,,,
37,AEM,3120,Topics in Brand Management,Patti Mandel,09:05AM,11:00AM,To Be Assigned,"Branding has become one of the most important aspects of business strategy. Developing brand identity and strategy are critical steps in successful marketing of a product. Developing a brand strategy requires an understanding of: what is branding, how to develop brand equity, how to reach the target audience, the importance of consistent communications and brand planning. This course includes the concepts of brand, brand equity and strategic brand management. Topics covered include Brand Equity, Consumer Communications, Reaching Consumers and Brand Planning. Post this class participants will understand the importance of building brand equity and communicating throughout all consumer touch points. Class work includes a combination of case studies, lectures, and class discussions. Topics discussed will relate to real life business situations.",Prerequisite: AEM 2420 or equivalent.,Spring.,AEM 3120,,,,,,,
38,AEM,3205,Ethics in Business and Organizations,John Doris,02:45PM,04:00PM,To Be Assigned,"This course will survey ethical problems that arise in business and other organizational contexts, and develop theoretical resources
to help address them.",Prerequisite: AEM 2200 or equivalent.,"Fall, Spring.",AEM 3205,AEM 3205,Doris,A,FA21,92,,0.0
39,AEM,3230,Managerial Accounting,Eric Lewis,11:25AM,12:40PM,To Be Assigned,"This course provides an introduction to the basic concepts, analyses, uses, and procedures of accounting and control used by internal company managers when they are faced with planning, directing, controlling, and decision-making activities in their organization. Topics covered focus on the relationship between strategy and decision-making and include product and service costing, budget setting, decision-making, profitability analysis, pricing, investment analysis, management control systems, and performance measurement.",Prerequisite: AEM 2210 or AEM 2225 or equivalent.,"Winter, Spring, Summer.",AEM 3230,,,,,,,
40,AEM,3260,Cooperative Business Management,Todd Schmit,08:05AM,09:20AM,To Be Assigned,"An evaluation of the fundamental principles, structure, finance, management and governance associated with the cooperative business model, with a focus on agricultural cooperatives. Analyses of the cooperative business organization within the modern economy are emphasized through a mix of lectures, guest speakers, case study discussions and, and experiential learning projects with cooperative businesses.","Prerequisite: one fo the following: AEM 1200, AEM 2200, AEM 3020, ILRID 1700, or permission of instructor.",Spring.,AEM 3260,,,,,,,
41,AEM,3290,International Agribusiness Study Trip,Todd Schmit,,,,"Gives students interested in agribusiness management exposure to the managerial practices essential to the success of agriculture, agribusiness, and food companies competing in the global marketplace. The course involves an intense one-week international field study trip that takes place during Spring break of the Spring semester the course is offered. The study trip involves a combination of educational instruction at a host university, along with organized field study trips to agricultural and food system related operations, both public and private in organization, in the selected country. The course meets for a few sessions in advance of the field study trip. A paper analyzing an aspect of the field study is required.",Prerequisite: previous business management or applied economics courses necessary.,Spring.,AEM 3290,,,,,,,
42,AEM,3370,Corporate Financial Reporting II,Eric Yeung,01:00PM,02:15PM,To Be Assigned,"Continuation of the in-depth study of accounting theory, generally accepted accounting principles, and the techniques involved in measuring, recording, summarizing, and reporting financial data for business organizations. Learn the GAAP accounting for revenue, investments, pensions, taxes, accounting changes, and statement of cash flows. Understand accounting alternatives within GAAP and accounting alternatives to GAAP for the topics covered so that students are prepared to understand and use future changes in GAAP. Course objectives will be achieved by a combination of lectures and analyzing and discussing articles from the financial press and cases that are based on actual financial statements.",Prerequisite: AEM 3360.,Spring.,AEM 3370,AEM 3370,AEM 3370,A,SP21,24,,1.0
43,AEM,3385,Social Entrepreneurship Practicum: Anabel's Grocery,Anke Wessels,02:45PM,04:00PM,To Be Assigned,"AEM 3385 is a hands-on learning experience that serves as an entry point for new Anabel's Grocery team members, introducing them to social entrepreneurship, food justice, systems thinking, collaborative leadership practices, and the day-to-day operations of Anabel's. No prerequisites and no previous experience with Anabel's required. The course is open to students regardless of major. We are looking for students with diverse interests who are passionate about making healthy food accessible to everyone through practical actions that further racial, economic, and ecological justice. This experiential-based course meets once a week. It includes small group discussion sessions and a practicum commitment of about 4 hours per week.",,"Fall, Spring.",AEM 3385,,,,,,,
44,AEM,3440,Consumer Behavior,Jacqueline Rifkin,02:40PM,05:10PM,To Be Assigned,"Develops a useful, conceptual understanding of the problem and strategies associated with the psychology behind consumer behavior. In doing so, the course provides frameworks that enable students to address these issues responsibly, systematically, and creatively.",,Spring.,AEM 3440,AEM 3440,Shu,A-,FA21,47,,0.0
45,AEM,3520,Financial Statements Analysis,Yao Lu,09:40AM,10:55AM,To Be Assigned,"The course will focus on developing a framework for analyzing financial statements to make business decisions. The framework is intended to enhance the ability to qualitatively and quantitatively assess financial information. Goals of the course include learning to read financial statements for relevant information, understanding the impact of a business' accounting choices and estimates, analyzing financial ratios and cash flow measures and methods for valuation of a business. Cases are incorporated in class discussions and assignments in order to illustrate concepts and allow students to put into practice the tools presented.","Prerequisite: AEM 2010, AEM 2225, AEM 2240.",Spring.,AEM 3520,,,,,,,
46,AEM,3605,BREXIT: UK Study Trip,Terence Alexander,02:45PM,04:00PM,To Be Assigned,"This seven week course will provide background information and discussion on the economic implications of the vote in the United Kingdom to exit from the European Union. The required readings, videos, and discussion will be followed by a ten-day trip to the UK.",Recommended prerequisite: ECON 1110.,Spring.,AEM 3605,,,,,,,
47,AEM,4000,Grand Challenges Project,,10:10AM,11:00AM,To Be Assigned,"Part of the Grand Challenges program, the Project Course is a capstone, team-based learning experience. Students work with a faculty member and a client or community partner to tackle a societal problem. Projects span the entire semester and, for larger projects, may extend to student cohorts over several semesters.","Prerequisite: AEM 2000 or AEM 2555 or AEM 2805 or AEM 2810, and AEM 3000.",Offered on demand.,AEM 4000,,,,,,,
48,AEM,4010,Organizational Analytics and Leadership,Donna Haeger,,,,"The use of spreadsheet modeling and data analytics in business continues to play center stage in most industries. However, simply employing software tools and learning programming languages is not enough to remain competitive with those companies successfully leveraging an analytics culture firm wide.  Organizations must rethink how work is done and strive to embed new digital behaviors across the entire company. In this course, students will gain exposure to the challenges faced in synergizing the relationship between data and decision making with organizations and leaders. The ultimate goal of the course is to gain clear insights and skills into creating a data driven organization. Three elements prevail:  Analytic Skill, Leadership and a Data Driven Culture. Through discussion, reading, case preparation and model review, emphasis will be placed on the exploration and application of data modeling to enhance decision- making and improve outcomes across the firm.",Prerequisite: AEM 3030 or permission of instructor.,"Fall, Spring.",AEM 4010,,,,,,,
49,AEM,4015,Customer Analytics and Strategy,Young-Hoon Park,10:05AM,11:20AM,To Be Assigned,"Aimed at students who are interested in pursuing activities in customer strategy and analytics built around the notion of customer centricity. The primary objective of this course is to provide students with how customer relationship management (CRM) can help accomplish strategic initiatives, improve firm profitability and build lasting competitive advantage. Students will be exposed to the practical side of CRM through case studies and hands-on exercises. This course is particularly relevant for students interested in careers in consulting, strategy, marketing and retailing, as well as for entrepreneurs.","Prerequisite: AEM 2400, AEM 2100 or equivalent.",Spring.,AEM 4015,,,,,,,
50,AEM,4060,Risk Simulation and Monte Carlo Methods,Calum Turvey,02:45PM,04:00PM,To Be Assigned,"This is a computer-based course that deals with the concepts of randomness and risk in financial management, capital budgeting, stock valuations, derivatives, and investment portfolios. The focus of the course is on applying realistic probability using Monte Carlo simulation to solve a variety of problems in finance.","Prerequisite: AEM 2240, AEM 2100 or equivalents, working knowledge of Excel, or permission of instructor.",Spring.,AEM 4060,,,,,,,
51,AEM,4140,Behavioral Economics and Managerial Decisions,Geoffrey Fisher,11:25AM,12:40PM,To Be Assigned,"Behavioral economics integrates psychology and economics by identifying systematic anomalies in decision making. These are now recognized to be an important source of error in business decisions, and they provide the foundation for both behavioral marketing and finance. The course compares rational choice theory with behavior both in lecture and through a series of economics experiments in which students face situations that are likely to lead to anomalies such as ""the winner's curse,"" the status quo bias, hyperbolic discounting, and bias in assessing risks. Students have the opportunity to evaluate their own decision making.",Prerequisite: AEM 2600 or ECON 3030 or PAM 2000.,Spring.,AEM 4140,AEM 4140,Fisher,A+,,,,
52,AEM,4150,Price Analysis,Harry Kaiser,02:45PM,04:00PM,To Be Assigned,"Focuses on the analysis of supply and demand characteristics of commodities with particular attention to agricultural products. Pays special attention to empirical analysis. Includes institutional aspects of pricing, temporal and spatial price relationships, price forecasting, and the economic consequences of pricing decisions.","Prerequisite: AEM 2100 and AEM 2600, or ECON 3030, or PAM 2000, or equivalent.",Spring.,AEM 4150,AEM 4150,Kaiser,A,FA21,91,,0.0
53,AEM,4160,Strategic Pricing,Jura Liaukonyte,01:00PM,02:15PM,To Be Assigned,"This quantitative course explores various pricing strategies by taking into consideration the role of consumer behavior, economics, statistics, and management science. Topics include: product tying and bundling, peak load pricing, price matching, warranty pricing, advanced booking, and the 99-cent pricing perceptions.","Prerequisite: AEM 2100, AEM 2600 and MATH 1110, or equivalent.",Spring.,AEM 4160,AEM 4160,Liaukonyte,A,SP21,50,,1.0
