,Unnamed: 0,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Median Grade,Semester (Ex: SP21),Pre/Coreqs,ID,Name,Number_of_Ratings,Average_Rating,Difficulty,Take Again
10,103.0,INFO,1260.0,Choices and Consequences in Computing,Jon Kleinberg,11:20AM,12:10PM,Bailey Hall 101,"Computing requires difficult choices that can have serious implications for real people. This course covers a range of ethical, societal, and policy implications of computing and information. It draws on recent developments in digital technology and their impact on society, situating these in the context of fundamental principles from computing, policy, ethics, and the social sciences. A particular emphasis will be placed on large areas in which advances in computing have consistently raised societal challenges: privacy of individual data; fairness in algorithmic decision-making; dissemination of online content; and accountability in the design of computing systems. As this is an area in which the pace of technological development raises new challenges on a regular basis, the broader goal of the course is to enable students to develop their own analyses of new situations as they emerge at the interface of computing and societal interests.",,Spring.,INFO 1260,A,FA21,[],136263.0,Jon Kleinberg,27.0,4.7,2.4,100.0
11,6.0,CS,1380.0,Data Science for All,Sumanta Basu,10:10AM,11:00AM,Malott Hall 228-Bache Aud,"This course provides an introduction to data science using the statistical programming language R. We focus on building skills in inferential thinking and computational thinking, guided by the practical questions we seek to answer from data sets arising in medicine, economics and other social sciences. The course starts with essential R programming principles, and how to use R for data manipulation, visualization, and sampling. These techniques are then used to summarize and visualize real data sets, draw meaningful conclusions from those data, and assess the uncertainty surrounding those conclusions. Throughout the process, students will learn to develop hypotheses about their data, and use simulations and statistical techniques to test these hypotheses. The course also covers how to use the Tidyverse open-source R packages to clean and organize complex data sets, and create high quality graphics for data visualization.",,Spring.,CS 1380,A,SP21,[],,,,,,
12,105.0,INFO,1380.0,Data Science for All,Sumanta Basu,10:10AM,11:00AM,Malott Hall 228-Bache Aud,"This course provides an introduction to data science using the statistical programming language R. We focus on building skills in inferential thinking and computational thinking, guided by the practical questions we seek to answer from data sets arising in medicine, economics and other social sciences. The course starts with essential R programming principles, and how to use R for data manipulation, visualization, and sampling. These techniques are then used to summarize and visualize real data sets, draw meaningful conclusions from those data, and assess the uncertainty surrounding those conclusions. Throughout the process, students will learn to develop hypotheses about their data, and use simulations and statistical techniques to test these hypotheses. The course also covers how to use the Tidyverse open-source R packages to clean and organize complex data sets, and create high quality graphics for data visualization.",,Spring.,INFO 1380,,,[],,,,,,
13,7.0,CS,1710.0,Introduction to Cognitive Science,Shaun Nichols,11:25AM,12:40PM,Uris Hall G01,"This course provides an introduction to the science of the mind. Everyone knows what it's like to think and perceive, but this subjective experience provides little insight into how minds emerge from physical entities like brains. To address this issue, cognitive science integrates work from at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy. This course introduces students to the insights these disciplines offer into the workings of the mind by exploring visual perception, attention, memory, learning, problem solving, language, and consciousness. ",,"Spring, Summer.",CS 1710,,,[],,,,,,
14,372.0,PHIL,1620.0,Introduction to Cognitive Science,Shaun Nichols,11:25AM,12:40PM,Uris Hall G01,"This course provides an introduction to the science of the mind. Everyone knows what it's like to think and perceive, but this subjective experience provides little insight into how minds emerge from physical entities like brains. To address this issue, cognitive science integrates work from at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy. This course introduces students to the insights these disciplines offer into the workings of the mind by exploring visual perception, attention, memory, learning, problem solving, language, and consciousness. ",,"Spring, Summer.",PHIL 1620,,,[],,,,,,
15,373.0,PHIL,1621.0,WIM: Introduction to Cognitive Science,Shaun Nichols,,,,This section is highly recommended for students who are interested in learning about the topics covered in the main course through writing and discussion. ,Corequisite: PHIL 1620.,Spring.,PHIL 1621,,,[nan],,,,,,
16,390.0,PHIL,3900.0,Independent Study,Shaun Nichols,,,,To be taken only in exceptional circumstances. Must be arranged by the student with his or her advisor and the faculty member who has agreed to direct the study.,,Fall or Spring.,PHIL 3900,,,[nan],,,,,,
17,8.0,CS,1998.0,Freshmen and Nontechnical Team Projects,Walker White,07:30PM,08:20PM,Upson Hall 142,Freshmen and Nontechnical Team Projects.,,"Fall, Spring.",CS 1998,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
18,20.0,CS,3152.0,Introduction to Computer Game Architecture,Walker White,10:10AM,11:00AM,Upson Hall 142,"A project-based course in which programmers and designers collaborate to make a computer game. This course investigates the theory and practice of developing computer games from a blend of technical, aesthetic, and cultural perspectives. Technical aspects of game architecture include software engineering, artificial intelligence, game physics, computer graphics, and networking. Aesthetic and cultural include art and modeling, sound and music, game balance, and player experience.",Prerequisite for programmers: CS 2110 or permission of the instructor. Prerequisite for designers: INFO 2450 and/or submission of art/design samples to instructor. Corequisite: ENGRC 3152.,Spring.,CS 3152,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
19,28.0,CS,4152.0,Advanced Topics in Computer Game Architecture,Walker White,09:05AM,09:55AM,Upson Hall 142,"Project-based follow-up course to CS 3152. Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.","Prerequisite: CS 3152, CS 3300 or CS 4620 or CS 4700 or CS 5414. Corequisite: ENGRC 4152.",Spring.,CS 4152,A,SP21,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
20,55.0,CS,5152.0,Advanced Topics in Computer Game Architecture,Walker White,09:05AM,09:55AM,Upson Hall 142,"Students work in a multidisciplinary team to develop a game that incorporates innovative game technology. Advanced topics include 3D game development, mobile platforms, multiplayer gaming, and nontraditional input devices. There is a special emphasis on developing games that can be submitted to festivals and competitions.","Prerequisite: CS 3152, CS 3300 or CS 4620 or CS 4700 or CS 5414. Corequisite: ENGRC 5152.",Spring.,CS 5152,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
21,106.0,INFO,1998.0,Freshmen Team Projects,Walker White,,,,"Independent work in information science as part of a student-led team project. Intended for freshmen on project teams, project team members in training, and for project team members performing tasks that are not core to information science.",,"Fall, Spring.",INFO 1998,,,[nan],1705832.0,Walker White,96.0,4.7,3.1,91.9355
22,111.0,INFO,3152.0,Introduction to Computer Game Design,Walker White,10:10AM,11:00AM,Upson Hall 142,"A project-based course in which programmers and designers collaborate to make a computer game. This course investigates the theory and practice of developing computer games from a blend of technical, aesthetic, and cultural perspectives. Technical aspects of game architecture include software engineering, artificial intelligence, game physics, computer graphics, and networking. Aesthetic and cultural aspects include art and modeling, sound and music, game balance, and player experience. ",Prerequisite for programmers: CS 2110 or permission of instructor. Prerequisite for designers: INFO 2450 and/or submission of art/design samples to instructor. Corequisite: ENGRC 3152.,Spring.,INFO 3152,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
23,115.0,INFO,4152.0,Advanced Topics in Computer Game Design,Walker White,09:05AM,09:55AM,Upson Hall 142,"Project-based follow-up course to INFO 3152. Students work in a multidisciplinary team to develop a game that incorporates innovative game mechanics. Advanced topics include nontraditional input schemes, advanced storytelling, social gameplay, and ""serious"" games.  There is a special emphasis on developing games that can be submitted to festivals and competitions, or that can be commercialized. Students may take this course as either a programmer or a designer; the prerequisites differ depending upon the selected track. Contact the instructor for more information.","Prerequisite for programmers: INFO 3152, CS 3300/INFO 3300 or CS 4620 or CS 4700 or CS 5414 or permission of the instructor. Prerequisite for designers: INFO 3152 and INFO 3450, or permission of the instructor. Corequisite: ENGRC 4152.",Spring.,INFO 4152,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
24,132.0,INFO,4998.0,Team Projects,Walker White,,,,Advanced independent work in information science as part of a student-led team project. Students must make individual arrangements with a faculty sponsor. Students are expected to spend 3-4 hours per week per credit hour working on the project.,,"Fall, Spring.",INFO 4998,,,[nan],1705832.0,Walker White,96.0,4.7,3.1,91.9355
25,134.0,INFO,5152.0,Advanced Topics in Computer Game Design,Walker White,09:05AM,09:55AM,Upson Hall 142,"Students work in a multidisciplinary team to develop a game that incorporates innovative game mechanics. Advanced topics include nontraditional input schemes, advanced storytelling, social gameplay, and ""serious"" games.  There is a special emphasis on developing games that can be submitted to festivals and competitions, or that can be commercialized. Students may take this course as either a programmer or a designer; the prerequisites differ depending upon the selected track. Contact the instructor for more information.","Prerequisite for programmers: INFO 3152, CS 3300/INFO 3300 or CS 4620 or CS 4700 or CS 5414 or permission of the instructor. Prerequisite for designers: INFO 3152 and INFO 3450, or permission of the instructor. Corequisite: ENGRC 5152 .",Spring.,INFO 5152,,,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355
26,9.0,CS,2043.0,UNIX Tools and Scripting,Ronald DiNapoli,12:25PM,01:15PM,Bill and Melinda Gates Hll G01,"UNIX and UNIX-like systems are increasingly being used on personal computers, mobile phones, web servers, and many other systems. They represent a wonderful family of programming environments useful both to computer scientists and to people in many other fields, such as computational biology and computational linguistics, in which data is naturally represented by strings. This course takes students from shell basics and piping, to regular-expression processing tools, to shell scripting and Python. Other topics to be covered include handling concurrent and remote resources, manipulating streams and files, and managing software installations.",Prerequisite: one programming course or equivalent programming experience. No previous knowledge of UNIX or expertise in any particular language is assumed.,Spring.,CS 2043,,,[],,,,,,
27,10.0,CS,2110.0,Object-Oriented Programming and Data Structures,Michael Clarkson,10:10AM,11:00AM,Statler Hall 185-Aud,"Intermediate programming in a high-level language and introduction to computer science. Topics include object-oriented programming (classes, objects, subclasses, types), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, testing, program correctness (loop invariants), searching/sorting, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.",Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,"Fall, Spring, Summer.",CS 2110,B,FA20,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
28,11.0,CS,2110.0,Object-Oriented Programming and Data Structures,Michael Clarkson,10:10AM,11:00AM,Statler Hall 185-Aud,"Intermediate programming in a high-level language and introduction to computer science. Topics include object-oriented programming (classes, objects, subclasses, types), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, testing, program correctness (loop invariants), searching/sorting, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.",Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,"Fall, Spring, Summer.",CS 2110,B,FA21,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
29,12.0,CS,2110.0,Object-Oriented Programming and Data Structures,Michael Clarkson,10:10AM,11:00AM,Statler Hall 185-Aud,"Intermediate programming in a high-level language and introduction to computer science. Topics include object-oriented programming (classes, objects, subclasses, types), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, testing, program correctness (loop invariants), searching/sorting, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.",Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,"Fall, Spring, Summer.",CS 2110,B+,SP21,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
30,13.0,CS,2111.0,Programming Practicum,Michael Clarkson,01:30PM,02:20PM,Kimball Hall B11,"Meets weekly for one hour, in collaboration with CS 2110. Designed to enhance understanding of object-oriented programming, use of the application for writing Java programs, and other programming issues, as well as theoretical concepts that arise in CS 2110. The hour is spent in ways appropriate to the material under study -lecture, question-answer session, problem solving in small groups, one-on-one help, etc.",Corequisite: CS 2110.,"Fall, Spring.",CS 2111,,,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
31,29.0,CS,4160.0,Formal Verification,Michael Clarkson,02:45PM,04:00PM,Bill and Melinda Gates Hll G01,"An introduction to formal verification, focusing on correctness of functional and imperative programs relative to mathematical specifications. Topics include computer-assisted theorem proving, logic, programming language semantics, and verification of algorithms and data structures. Assignments involve extensive use of a proof assistant to develop and check proofs.","Prerequisite: CS 3110 or permission of instructor. Students are expected to be proficient with programming (e.g. CS 2110), and proof (e.g. CS 2800 or a mathematics course numbered 3000 or above).",Spring.,CS 4160,,,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
32,56.0,CS,5160.0,Formal Verification,Michael Clarkson,02:45PM,04:00PM,Bill and Melinda Gates Hll G01,"An introduction to formal verification, focusing on correctness of functional and imperative programs relative to mathematical specifications. Topics include computer-assisted theorem proving, logic, programming language semantics, and verification of algorithms and data structures. Assignments involve extensive use of a proof assistant to develop and check proofs.","Prerequisite: CS 3110 or permission of instructor. Students are expected to be proficient with programming (e.g. CS 2110), and proof (e.g. CS 2800 or a mathematics course numbered 3000 or above). ",Spring.,CS 5160,,,[],2239807.0,Michael Clarkson,19.0,4.5,3.6,94.7368
33,14.0,CS,2300.0,Intermediate Design and Programming for the Web,Kyle Harms,09:05AM,09:55AM,Uris Hall G01,"Web programming requires the cooperation of two machines: the one in front of the viewer (client) and the one delivering the content (server). INFO 1300 concentrates almost exclusively on the client side. The main emphasis in INFO 2300 is learning about server side processing. Students begin with a short overview of the PHP server-side scripting language, then look at interactions with databases, learning about querying via the database language SQL. Through a succession of projects, students learn how to apply this understanding to the creation of an interactive, data-driven site via PHP and the MYSQL database. Also considered are technologies such as Javascript and Ajax and techniques to enhance security and privacy. Design and usability issues are emphasized. A major component of the course is the creation of a substantial web site.",Prerequisite: CS 1300.,Spring.,CS 2300,,,[],2277575.0,Kyle Harms,29.0,3.2,2.6,51.7241
34,107.0,INFO,2300.0,Intermediate Design and Programming for the Web,Kyle Harms,09:05AM,09:55AM,Uris Hall G01,"Web programming requires the cooperation of two machines: the one in front of the viewer (client) and the one delivering the content (server). INFO 1300 concentrates almost exclusively on the client side. The main emphasis in INFO 2300 is learning about server side processing. Students begin with a short overview of the PHP server-side scripting language, then look at interactions with databases, learning about querying via the database language SQL. Through a succession of projects, students learn how to apply this understanding to the creation of an interactive, data-driven site via PHP and the MYSQL database. Also considered are technologies such as Javascript and Ajax and techniques to enhance security and privacy. Design and usability issues are emphasized. A major component of the course is the creation of a substantial web site.",Prerequisite: INFO 1300.,Spring.,INFO 2300,,,[],2277575.0,Kyle Harms,29.0,3.2,2.6,51.7241
35,120.0,INFO,4340.0,App Design and Prototyping,Kyle Harms,09:40AM,10:55AM,Phillips Hall 203,"In this studio course, students will work in teams to complete a semester long project. Students will gain practical experience and confidence applying the user-centered design process to design, evaluate, and code a high-fidelity prototype app. Through the project, students will learn how design effective graphical user interfaces using affordances, user feedback, and common interface widgets. This course has a significant software development focus, exposing students to software development methods and tools necessary for developing high-fidelity interactive software prototypes. This includes employing widget libraries, event-based programming, data stubs, Git work-flows, basic command line usage, and debugging.",Prerequisite: INFO 2300/CS 2300 or equivalent programming experience. Corequisite: COMM 3450 or equivalent experience.,"Fall, Spring.",INFO 4340,,,[],2277575.0,Kyle Harms,29.0,3.2,2.6,51.7241
36,147.0,INFO,5440.0,App Design and Prototyping,Kyle Harms,09:40AM,10:55AM,Phillips Hall 203,"In this studio course, students will work in teams to complete a semester long project. Students will gain practical experience and confidence applying the user-centered design process to design, evaluate, and code a high-fidelity prototype app. Through the project, students will learn how design effective graphical user interfaces using affordances, user feedback, and common interface widgets. This course has a significant software development focus, exposing students to software development methods and tools necessary for developing high-fidelity interactive software prototypes. This includes employing widget libraries, event-based programming, data stubs, Git work-flows, basic command line usage, and debugging.",,"Fall, Spring.",INFO 5440,,,[],2277575.0,Kyle Harms,29.0,3.2,2.6,51.7241
37,15.0,CS,2800.0,Discrete Structures,Anke van Zuylen,10:10AM,11:00AM,Statler Hall 185-Aud,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; combinatorics and discrete mathematics; some basic elements of basic probability theory; basic number theory; sets, functions, and relations; graphs; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science, such as the RSA cryptosystem and web searching.",Prerequisite or corequisite: one programming course or permission of instructor.,"Fall, Spring.",CS 2800,B+,FA21,[],2747318.0,Anke van Zuylen,6.0,4.8,3.8,100.0
38,16.0,CS,2800.0,Discrete Structures,Anke van Zuylen,10:10AM,11:00AM,Statler Hall 185-Aud,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; combinatorics and discrete mathematics; some basic elements of basic probability theory; basic number theory; sets, functions, and relations; graphs; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science, such as the RSA cryptosystem and web searching.",Prerequisite or corequisite: one programming course or permission of instructor.,"Fall, Spring.",CS 2800,B+,FA21,[],2747318.0,Anke van Zuylen,6.0,4.8,3.8,100.0
39,17.0,CS,3110.0,Data Structures and Functional Programming,Nate Foster,11:20AM,12:10PM,Statler Hall 185-Aud,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800. Should not be taken concurrently with CS 3410 or CS 3420.,"Fall, Spring.",CS 3110,A,SP21,[],2290792.0,Nate Foster,15.0,4.3,3.6,86.6667
40,18.0,CS,3110.0,Data Structures and Functional Programming,Nate Foster,11:20AM,12:10PM,Statler Hall 185-Aud,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800. Should not be taken concurrently with CS 3410 or CS 3420.,"Fall, Spring.",CS 3110,A-,FA20,[],2290792.0,Nate Foster,15.0,4.3,3.6,86.6667
41,19.0,CS,3110.0,Data Structures and Functional Programming,Nate Foster,11:20AM,12:10PM,Statler Hall 185-Aud,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800. Should not be taken concurrently with CS 3410 or CS 3420.,"Fall, Spring.",CS 3110,B+,FA21,[],2290792.0,Nate Foster,15.0,4.3,3.6,86.6667
42,24.0,CS,3420.0,Embedded Systems,Nils Napp,01:00PM,02:15PM,Olin Hall 255,"An introduction to the design of embedded systems, with an emphasis on understanding the interaction between hardware, software, and the physical world. Topics covered include assembly language programming, interrupts, I/O, concurrency management, scheduling, resource management, and real-time constraints.",Prerequisite: ECE 2300/ENGRD 2300. Recommended prerequisite: ECE 2400/ENGRD 2140.,Spring.,CS 3420,A-,SP21,[],2576884.0,Nils Napp,5.0,1.6,2.8,20.0
43,175.0,ECE,3140.0,Embedded Systems,Nils Napp,01:00PM,02:15PM,Olin Hall 255,"An introduction to the design of embedded systems, with an emphasis on understanding the interaction between hardware, software, and the physical world. Topics covered include assembly language programming, interrupts, I/O, concurrency management, scheduling, resource management, and real-time constraints.",Prerequisite: ECE 2300/ENGRD 2300. Recommended prerequisite: ECE 2400/ENGRD 2140.,Spring.,ECE 3140,A-,SP21,[],2576884.0,Nils Napp,5.0,1.6,2.8,20.0
44,25.0,CS,4090.0,Teaching Experience in Computer Science,Dexter Kozen,,,,Earn course credit for working as a consultant or ugrad TA in a computer science course.,,"Fall, Spring.",CS 4090,,,[nan],153936.0,Dexter Kozen,28.0,4.2,3.5,87.5
45,43.0,CS,4810.0,Introduction to Theory of Computing,Dexter Kozen,09:40AM,10:55AM,Olin Hall 255,"Introduction to the modern theory of computing: automata theory, formal languages, and effective computability.",Prerequisite: CS 2800 or permission of instructor.,Spring.,CS 4810,,,[],153936.0,Dexter Kozen,28.0,4.2,3.5,87.5
46,91.0,CS,7190.0,Seminar in Programming Languages,Dexter Kozen,02:45PM,04:00PM,Bill and Melinda Gates Hll 310,"The Programming Languages Discussion Group meets weekly to discuss papers in the area of programming languages, program analysis, and compilers. The goal is to encourage interactions and discussions between students, researchers, and faculty with interests in this area. The seminar is open to everybody interested in languages and compilers. First-year and second-year students are especially encouraged to participate.",Prerequisite: CS 6110 or permission of instructor.,"Fall, Spring.",CS 7190,,,[],153936.0,Dexter Kozen,28.0,4.2,3.5,87.5
47,26.0,CS,4120.0,Introduction to Compilers,Andrew Myers,02:40PM,03:30PM,Bill and Melinda Gates Hll G01,"An introduction to the specification and implementation of modern compilers. Topics covered include lexical scanning, parsing, type checking, code generation and translation, an introduction to program analysis and optimization, and compile-time and run-time support for modern programming languages. As part of the course, students will build a working compiler for an object-oriented language.","Prerequisite: CS 3110 or permission of instructor, and CS 3420 or CS 3410. Corequisite: CS 4121.",Spring.,CS 4120,A,SP21,[],180783.0,Andrew Myers,17.0,4.3,4.2,100.0
48,27.0,CS,4121.0,Practicum in Compilers,Andrew Myers,,,,Students will build a working compiler for an object-oriented language.,Corequisite: CS 4120.,Spring.,CS 4121,,,[nan],180783.0,Andrew Myers,17.0,4.3,4.2,100.0
49,51.0,CS,5120.0,Introduction to Compilers,Andrew Myers,02:40PM,03:30PM,Bill and Melinda Gates Hll G01,"An introduction to the specification and implementation of modern compilers. Topics covered include lexical scanning, parsing, type checking, code generation and translation, an introduction to program analysis and optimization, and compile-time and run-time support for modern programming languages. As part of the course, students will build a working compiler for an object-oriented language.","Prerequisite: CS 3110 or permission of instructor, CS 3420 or CS 3410. Corequisite: CS 5121.",Spring.,CS 5120,,,[],180783.0,Andrew Myers,17.0,4.3,4.2,100.0
50,52.0,CS,5121.0,Practicum in Compilers,Andrew Myers,,,,Students will build a working compiler for an object-oriented language.,Corequisite: CS 5120.,Spring.,CS 5121,,,[nan],180783.0,Andrew Myers,17.0,4.3,4.2,100.0
